Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename
1928499707,"Oct 26, 2018, 2:50:39 PM",Cooldown,Run,"",684,2.26,,false,Black,activities/2063888505.fit.gz
1930383017,"Oct 26, 2018, 9:51:17 PM",Enough rainy running for one day,Run,"",1915,6.89,,false,Black,activities/2065821246.fit.gz
1930383933,"Oct 27, 2018, 1:11:33 PM",Easy LR at Dick Woods,Run,"",5997,23.08,,false,Black,activities/2065822141.fit.gz
1933415063,"Oct 27, 2018, 9:17:08 PM",Afternoon Run,Run,,1211,4.20,,false,Black,activities/2068978310.fit.gz
1933415306,"Oct 28, 2018, 12:14:52 PM",Morning Run,Run,,2580,9.69,,false,Black,activities/2068978477.fit.gz
1934113396,"Oct 29, 2018, 1:27:08 PM",Panorama easy miles,Run,Glad to have a big Reebok crew in from Boston for product testing. Some exciting stuff in the works 😈,3714,13.93,,false,Black,activities/2069707250.fit.gz
1934743101,"Oct 29, 2018, 9:14:55 PM",Afternoon Run,Run,"",1899,6.72,,false,Blue,activities/2070352743.fit.gz
1936081384,"Oct 30, 2018, 1:26:06 PM",Warm up,Run,"",1512,5.62,,false,Black,activities/2071732570.fit.gz
1936081712,"Oct 30, 2018, 2:07:57 PM",Keene Tempo Tuesday,Run,Plan was to have a hard cap of 5.15 pace for the first 6 miles and then push on the last one without going to the well. Ended up starting a bit quick but we found our rhythm and rolled 7 deep the whole way. Great workout for the whole squad. ,2169,11.29,,false,Black,activities/2071733049.fit.gz
1936081849,"Oct 30, 2018, 2:44:27 PM",Morning Run,Run,,932,3.69,,false,Black,activities/2071733265.fit.gz
1936614514,"Oct 30, 2018, 9:10:25 PM",Flushing the legs,Run,Left hip area feeling tight today. Working on glute/hip flexor tonight ,1917,6.85,,false,Blue,activities/2072278922.fit.gz
1937815279,"Oct 31, 2018, 1:27:18 PM",Whale Tail from Formula,Run,"",3952,13.41,,false,Blue,activities/2073513257.fit.gz
1940089209,"Nov 1, 2018, 4:49:06 PM",Riverview Recovery and Strides,Run,"Easy, feeling good, 75 degrees. No shirt November!",3869,14.92,,false,Blue,activities/2075848307.fit.gz
1941471889,"Nov 2, 2018, 1:17:05 PM",Morning Run,Run,,1648,5.73,,false,Blue,activities/2077273753.fit.gz
1941472356,"Nov 2, 2018, 1:59:42 PM",Fartlek Friday @ Darden Towe,Run,"[90s, 60s, 30s, each off 60s] x 7",2503,12.01,,false,Blue,activities/2077274255.fit.gz
1941472490,"Nov 2, 2018, 2:44:34 PM",Morning Run,Run,,637,2.37,,false,Blue,activities/2077274365.fit.gz
1942042780,"Nov 2, 2018, 9:21:46 PM",Thunderstorm double ⛈,Run,"",1772,6.81,,false,Blue,activities/2077862820.fit.gz
1945694161,"Nov 3, 2018, 1:17:36 PM",Louisa long run ,Run,Rolling with the boys. Another great week in the books,6092,25.13,,false,Black,activities/2081656962.fit.gz
1945694645,"Nov 4, 2018, 1:32:25 PM",Easy Sunday ,Run,"",2861,9.97,,false,Blue,activities/2081657534.fit.gz
1948324847,"Nov 5, 2018, 2:26:15 PM",Soggy Farm,Run,"",3704,14.49,,false,Blue,activities/2084385088.fit.gz
1948325062,"Nov 5, 2018, 10:10:15 PM",What is Sunlight?,Run,"",1815,6.43,,false,Blue,activities/2084385335.fit.gz
1949507490,"Nov 6, 2018, 2:25:34 PM",Soggy warm up ,Run,"",1510,5.83,,false,Blue,activities/2085601371.fit.gz
1949507929,"Nov 6, 2018, 3:04:10 PM",Ground Zero,Run,"In and out 800s
In goal 218-220/Out goal 245

245/222
243/220
245/220
245/222
245/216
243/216
240/211",2114,11.56,,false,Blue,activities/2085601900.fit.gz
1949508053,"Nov 6, 2018, 3:46:53 PM",Cooldown,Run,"",859,3.22,,false,Blue,activities/2085602083.fit.gz
1950264338,"Nov 6, 2018, 10:12:58 PM",Afternoon Run,Run,,1898,6.74,,false,Blue,activities/2086372829.fit.gz
1951343175,"Nov 7, 2018, 2:24:51 PM",Morning Run,Run,,3640,13.77,,false,Blue,activities/2087478797.fit.gz
1952125735,"Nov 7, 2018, 10:22:26 PM",Afternoon Run,Run,,1796,6.11,,false,Blue,activities/2088274149.fit.gz
1956649743,"Nov 9, 2018, 12:38:39 PM",B&A Trail Fartlek,Run,12x1min off 1 min in the middle of my run this morning ,4620,18.48,,false,Blue,activities/2092938661.fit.gz
1956650480,"Nov 10, 2018, 12:14:14 PM",B&A Trail LR,Run,"",6089,25.82,,false,Blue,activities/2092939597.fit.gz
1956666446,"Nov 8, 2018, 1:02:03 PM",DTM ,Run,"",3845,14.48,,false,Blue,activities/2092937819.fit.gz
1957269827,"Nov 10, 2018, 12:36:00 AM",Hotel Treadmill Double,Run,,1396,5.31,,false,Blue,
1959499762,"Nov 11, 2018, 7:31:12 PM",Afternoon Run,Run,,2476,9.68,,false,Blue,activities/2095885741.fit.gz
1960603054,"Nov 12, 2018, 2:26:56 PM",Morning Run,Run,,4066,14.88,,false,Blue,activities/2097017033.fit.gz
1962549911,"Nov 12, 2018, 9:09:15 PM",Cold rainy double,Run,"",1711,6.56,,false,Blue,activities/2099002502.fit.gz
1962550521,"Nov 13, 2018, 2:24:36 PM",Warming up,Run,"",1510,6.10,,false,Blue,activities/2099003101.fit.gz
1962551108,"Nov 13, 2018, 3:03:28 PM",Mile repeatz,Run,437 434 440 431 off 145/145/215,1452,7.24,,false,Blue,activities/2099003735.fit.gz
1962551427,"Nov 13, 2018, 3:30:09 PM",Cooldown,Run,5x1min off 1min on the way back,937,4.30,,false,Blue,activities/2099003966.fit.gz
1963296797,"Nov 13, 2018, 10:12:16 PM",Derbl,Run,"",1804,6.87,,false,Blue,activities/2099760087.fit.gz
1965012811,"Nov 14, 2018, 2:24:11 PM",Easy through grounds,Run,"",3553,12.94,,false,Blue,activities/2101505006.fit.gz
1968056311,"Nov 15, 2018, 12:32:24 PM",35 and Raining,Run,"",3665,13.95,,false,Blue,activities/2104631203.fit.gz
1968056729,"Nov 16, 2018, 2:25:07 PM",Warm up,Run,"",1590,6.15,,false,Blue,activities/2104631649.fit.gz
1968057071,"Nov 16, 2018, 3:00:15 PM",Keene Cruise with Colin and Justyn,Run,"",1883,9.68,,false,Blue,activities/2104632022.fit.gz
1968057235,"Nov 16, 2018, 3:33:50 PM",Spicy cooldown ,Run,5x15s strides off 30s and then jog back to the cars. ,677,2.87,,false,Blue,activities/2104632177.fit.gz
1968452796,"Nov 15, 2018, 8:40:00 PM",Formula Treadmill Double,Run,Double inside after strength to avoid the cold wet conditions outside 🙃,1800,7.08,,false,Blue,
1968532573,"Nov 16, 2018, 9:45:41 PM",Afternoon Run,Run,,1722,6.51,,false,Blue,activities/2105116479.fit.gz
1970009555,"Nov 17, 2018, 2:23:57 PM",Dick Woods Gang,Run,"",4765,19.32,,false,Blue,activities/2106661443.fit.gz
1973005812,"Nov 19, 2018, 12:50:37 AM",Back on the green lake grind!,Run,"",1963,6.85,,false,Blue,activities/2109797140.fit.gz
1974546597,"Nov 19, 2018, 11:48:06 PM",Afternoon Run,Run,,2986,10.59,,false,Blue,activities/2111374030.fit.gz
1976095941,"Nov 20, 2018, 9:14:41 PM",Ready to Rip,Run,5x30s off a minute. Tried to be as smooth as possible. Felt like I was flying,2412,9.87,,false,Blue,activities/2112969004.fit.gz
1981176078,"Nov 21, 2018, 4:25:09 PM",Morning Run,Run,,1865,7.25,,false,Blue,activities/2118262992.fit.gz
1981176197,"Nov 22, 2018, 3:17:06 PM",Morning Run,Run,,1506,5.62,,false,Blue,activities/2118263151.fit.gz
1981176401,"Nov 22, 2018, 4:25:46 PM",Morning Run,Run,,1829,6.70,,false,Blue,activities/2118263351.fit.gz
1981176745,"Nov 23, 2018, 6:03:00 PM",Morning Run,Run,,3698,14.85,,false,Blue,activities/2118263679.fit.gz
1983166493,"Nov 22, 2018, 4:00:00 PM",Silicon Valley Turkey Trot,Run,,842,5.00,,false,Blue,
1985291166,"Nov 24, 2018, 5:46:51 PM",Back on the Burke,Run,"",6340,25.82,,false,Blue,activities/2122577903.fit.gz
1985291231,"Nov 26, 2018, 12:14:46 AM",Afternoon Run,Run,,1961,6.96,,false,Blue,activities/2122578013.fit.gz
1986857336,"Nov 26, 2018, 5:21:09 PM",Rainy morning ,Run,"",3610,14.91,,false,Blue,activities/2124227328.fit.gz
1986857414,"Nov 27, 2018, 12:29:45 AM",Rainy evening,Run,"",2004,7.20,,false,Blue,activities/2124227442.fit.gz
1987993926,"Nov 27, 2018, 5:56:58 PM",Cooldown ,Run,"",1363,5.45,,false,Grey,activities/2125412853.fit.gz
1987994129,"Nov 27, 2018, 4:59:27 PM",Warm up,Run,"",1435,5.62,,false,Blue,activities/2125413100.fit.gz
1987994546,"Nov 27, 2018, 5:25:02 PM",Progression tempo on the Burke ,Run,Kept it controlled and just squeezed bit by bit,1903,9.68,,false,Grey,activities/2125413540.fit.gz
1989708428,"Nov 28, 2018, 2:31:05 AM",Evening Run,Run,"",1871,7.12,,false,Grey,activities/2127200451.fit.gz
1990332159,"Nov 28, 2018, 11:48:00 PM",Afternoon Run,Run,,3803,14.86,,false,Grey,activities/2127842098.fit.gz
1991330104,"Nov 29, 2018, 4:29:12 PM",Bread and butter and strides,Run,"",3679,14.91,,false,Grey,activities/2128893335.fit.gz
1992048296,"Nov 30, 2018, 12:55:37 AM",Afternoon Run,Run,,1996,6.95,,false,Grey,activities/2129640410.fit.gz
1993153352,"Nov 30, 2018, 6:34:40 PM",Staple warm up ,Run,16 minutes easy straight into 4 minute pick up @530-600 pace. Then 4x5s stride off 55s. ,1491,6.19,,false,Grey,activities/2130790017.fit.gz
1993153631,"Nov 30, 2018, 7:05:39 PM",In and out 800s,Run,"230 in 245 out goal pace. Classic 🦊

226/239
231/240
231/243
230/244.5
229/243
226/245
217/245

Splits were a bit off. Not sure if the track is a tad long or my watch was off but got in some good work either way. ",2170,11.60,,false,Grey,activities/2130790338.fit.gz
1993153736,"Nov 30, 2018, 7:44:26 PM",Cool[strides]down,Run,"",993,3.94,,false,Grey,activities/2130790468.fit.gz
1994974867,"Dec 1, 2018, 6:14:29 PM","Long run, let the body roll ",Run,"",6137,27.39,,false,Grey,activities/2132691179.fit.gz
1997346045,"Dec 2, 2018, 2:12:34 AM",Evening Run,Run,,1858,6.68,,false,Grey,activities/2135192653.fit.gz
1997346170,"Dec 2, 2018, 11:41:54 PM",Afternoon Run,Run,,2744,10.12,,false,Grey,activities/2135192804.fit.gz
